wordform	weight
veranstaltung	0.693147
nachmittag	0.693147
ersten	0.693147
kürzer	0.693147
süße	0.693147
tüten	0.693147
sowie	0.693147
erinnerung	1.098612
fotos	1.098612
ordentlich	0.693147
minuten.Aber	0.693147
angebote	0.693147
unter	0.693147
putzen.Ich	0.693147
vater	2.197225
welche	0.693147
schwarzen	0.693147
warum	1.098612
zuverlässiger	0.693147
fuß	0.693147
bald	1.098612
jetzt	1.945910
legen	0.693147
moment	0.693147
genau.Dann	0.693147
nicht.Wann	0.693147
keine	2.197225
euro	2.079442
kalte	0.693147
ihren	0.693147
sprachkurs	0.693147
gefragt	0.693147
stellen	0.693147
gelten	0.693147
machen	1.791759
suchen	0.693147
oft	1.609438
fahrten	1.945910
groß.Aber	0.693147
andere	0.693147
nimmst	0.693147
konkret	0.693147
packung	0.693147
schultern	0.693147
miete	0.693147
vorlesung.Am	0.693147
lese	0.693147
genauso	0.693147
kilo	1.098612
alternative	0.693147
eigenes	0.693147
meinst	0.693147
kalender	1.386294
texte	1.098612
verwandte	0.693147
danke	1.098612
hilfreich.Such	0.693147
wohnzimmer.Die	0.693147
flaschen	0.693147
eingeschlossen	0.693147
probieren	0.693147
hat	2.564949
gute	1.609438
was.Zum	0.693147
geschichte	0.693147
bereitest	0.693147
aufführungen	0.693147
suchwort	1.098612
passwort	0.693147
rufe	0.693147
mindestens	0.693147
sternen	1.098612
möchsten	0.693147
näheder	0.693147
geschickt	0.693147
bis	1.098612
weiß	1.386294
braune	0.693147
seidenstraße	1.098612
erste	0.693147
abgerufen.Das	0.693147
minuten.Vielen	0.693147
schreibt.Ich	0.693147
informationen	0.693147
leanst	0.693147
jedoch	0.693147
verlängern	0.693147
wöchentlich	0.693147
benutzer-ID	0.693147
fantastisch.Bekommt	0.693147
abgemacht	0.693147
eben	1.098612
gebe	1.098612
sollen	0.693147
monat	0.693147
mahlzeit	0.693147
fünf	0.693147
tisch	0.693147
kostet	1.386294
auskunft	1.386294
fleisch	0.693147
besser	0.693147
freiheit	0.693147
zwiebeln	0.693147
nachtisch.Meistens	0.693147
montag	0.693147
bisschen	1.098612
bett	1.098612
meinen	1.098612
kleinen	1.098612
grüntee	0.693147
meinem	0.693147
kleines	0.693147
e-mail	0.693147
sagen	1.098612
nachtisch	0.693147
terminkalender	1.098612
selbst	1.098612
mehrere	0.693147
gleichfalls	0.693147
vom	1.098612
möbeln	0.693147
vielleicht	1.609438
säze	0.693147
kaffee	1.386294
seine	1.609438
ober	0.693147
gleichzeitig	0.693147
weil	1.098612
gefunden	0.693147
fahren	2.079442
mailadresse	0.693147
super	0.693147
sonntagnachmittag	0.693147
zur	1.609438
geschirr	1.098612
oh	1.945910
geschwister	0.693147
ach	2.397895
aufgaben	0.693147
bestseller	0.693147
zug	0.693147
hier	2.833213
gemüse	1.609438
schmal	1.098612
zum	2.197225
guten	1.386294
aha	0.693147
aber	2.772589
buchmesse	1.386294
tag	2.197225
geeignet	0.693147
lieber	1.098612
dauert	1.791759
eine	3.044522
anbieter	0.693147
essen	1.098612
ordentliches	0.693147
bitte	1.386294
passagier	1.098612
hallo	1.098612
welches	0.693147
welcher	0.693147
sicher	0.693147
her	0.693147
gebrauchten	0.693147
um.Mit	0.693147
sonderangebot	1.098612
gesagt	1.098612
chinesische	1.098612
essen.Und	0.693147
gehören	1.098612
zwischen	0.693147
täglich	0.693147
gebrauchtes	1.098612
bruder	0.693147
war	0.693147
schönen	1.098612
schmeckt	1.386294
bußgeld	0.693147
bus	0.693147
schuladen.Hmm	0.693147
m2	1.098612
mutter	2.397895
eigentlich	0.693147
familie	0.693147
hi	1.098612
link	0.693147
u-Bahn	1.386294
mich	1.945910
besuche	0.693147
zuerst	1.098612
mitteilung	1.098612
minuten	1.945910
entschuldigung	0.693147
tandempartner	2.302585
leicht	0.693147
um	1.791759
badezimmer	0.693147
mädchen	0.693147
un	0.693147
exemplar	1.386294
salate	0.693147
hause	1.791759
sein	1.386294
mails	0.693147
ab	1.098612
videos	1.386294
interesse	0.693147
halben	0.693147
aussieht	0.693147
am	2.564949
innerhalb	0.693147
an	2.197225
organisiert	0.693147
brauche	1.609438
unterschied	0.693147
seidenstraße.das	0.693147
hängen	1.098612
speise	0.693147
pfund	1.098612
alltagsleben	0.693147
na	1.386294
getränk	0.693147
süß	0.693147
sich	0.693147
morgens	0.693147
appetit	0.693147
zimmer	2.079442
müde	0.693147
spülen	0.693147
sonntag-	0.693147
